zipcode,mediansalary,Pop
3817,51866,462
3818,49733,"3,309"
3819,78083,"4,017"
3820,59989,"26,940"
3823,72209,"1,432"
3824,60676,"12,659"
3825,74102,"7,375"
3826,82711,"2,439"
3827,87103,"2,579"
3830,46406,"1,258"
3832,55531,381
3833,74806,"19,202"
3835,47975,"5,778"
3836,45728,"1,286"
3837,64219,"1,173"
3838,46357,922
3839,55733,"3,490"
3840,75526,"3,220"
3841,83959,"6,086"
3842,72310,"14,818"
3844,112417,"1,879"
3845,45924,"1,000"
3846,46357,818
3847,40661,302
3848,69792,"5,863"
3849,55543,"1,295"
3850,52679,369
3851,58382,"3,378"
3852,58382,534
3853,52679,581
3854,67292,"1,010"
3855,60625,"2,216"
3856,79824,"1,557"
3857,70588,"8,048"
3858,87257,"4,288"
3860,40861,"3,450"
3861,72209,"4,153"
3862,75081,"4,254"
3864,44967,"1,628"
3865,76471,"7,731"
3867,51183,"20,308"
3868,53629,"4,778"
3869,66161,"2,582"
3870,85268,"5,062"
3871,85268,119
3872,46406,"3,200"
3873,84362,"4,942"
3874,52645,"8,047"
3875,55214,625
3878,52254,"11,539"
3882,45728,"1,273"
3883,51866,179
3884,72303,"3,585"
3885,106572,"6,336"
3886,51872,"1,854"
3887,57598,"1,827"
3890,44967,303
3894,55652,"6,116"
3901,61513,"6,373"
3902,72016,"2,083"
3903,66854,"5,952"
3904,52799,"7,636"
3905,54048,"1,902"
3906,57711,"4,331"
3907,57542,"1,223"
3908,75007,"6,684"
3909,61753,"10,093"
3910,57101,338
3911,57101,341
4001,51227,"2,138"
4002,62908,"6,280"
4003,66055,477
4005,49409,"22,620"
4006,61583,124
4008,63192,"2,498"
4009,42420,"4,815"
4010,42439,"1,248"
4011,51062,"21,168"
4015,51656,"3,501"
4017,85168,355
4019,58429,87
4020,48269,"1,269"
4021,85168,"5,589"
4022,42439,"1,003"
4024,52059,529
4027,56227,"5,085"
4029,52059,"1,433"
4030,60288,"1,836"
4032,60895,"7,797"
4037,37578,"3,373"
4038,70795,"14,169"
4039,67751,"6,428"
4040,42035,"2,629"
4041,40694,"1,415"
4042,57536,"4,117"
4043,73978,"10,482"
4046,60745,"7,282"
4047,48269,"1,580"
4048,50684,"2,288"
4049,56924,"3,355"
4050,58429,200
4051,45086,983
4055,52824,"3,200"
4056,51227,209
4057,42420,63
